04.10.2016 10:00:04.106;	15168;	1
04.10.2016 10:00:04.106;	15168;	25
04.10.2016 10:00:04.106;	15169;	8
04.10.2016 10:00:04.200;	15168;	1
04.10.2016 10:00:04.328;	15161;	-1
04.10.2016 10:00:04.328;	15160;	-2
04.10.2016 10:00:04.328;	15160;	-3
04.10.2016 10:00:04.328;	15159;	-2
04.10.2016 10:00:04.342;	15160;	-3
04.10.2016 10:00:04.342;	15159;	-3
04.10.2016 10:00:04.370;	15167;	3
04.10.2016 10:00:04.370;	15168;	1
04.10.2016 10:00:04.513;	15160;	-2
04.10.2016 10:00:04.622;	15166;	-10
04.10.2016 10:00:04.722;	15160;	-1
04.10.2016 10:00:04.722;	15160;	-11
04.10.2016 10:00:04.775;	15159;	-4
04.10.2016 10:00:04.905;	15166;	1
04.10.2016 10:00:04.905;	15167;	3
04.10.2016 10:00:04.905;	15167;	1
04.10.2016 10:00:04.950;	15167;	2
04.10.2016 10:00:04.950;	15168;	2
04.10.2016 10:00:05.039;	15164;	-1
04.10.2016 10:00:05.039;	15163;	-2
04.10.2016 10:00:05.039;	15162;	-5
04.10.2016 10:00:05.040;	15163;	3
04.10.2016 10:00:05.041;	15163;	1
04.10.2016 10:00:05.617;	15163;	-2
04.10.2016 10:00:05.782;	15163;	-1
04.10.2016 10:00:05.782;	15162;	-7
04.10.2016 10:00:05.802;	15168;	3
04.10.2016 10:00:05.804;	15162;	-1
04.10.2016 10:00:05.804;	15161;	-2
04.10.2016 10:00:05.804;	15160;	-1
04.10.2016 10:00:05.813;	15160;	-2
04.10.2016 10:00:05.823;	15159;	-1
04.10.2016 10:00:05.823;	15157;	-3
04.10.2016 10:00:05.830;	15156;	-1
04.10.2016 10:00:05.830;	15156;	-1
04.10.2016 10:00:05.846;	15158;	-3
04.10.2016 10:00:05.846;	15157;	-1
04.10.2016 10:00:06.080;	15164;	2
04.10.2016 10:00:06.161;	15158;	-2
04.10.2016 10:00:06.161;	15157;	-2
04.10.2016 10:00:06.296;	15161;	-4
04.10.2016 10:00:06.296;	15161;	-4
04.10.2016 10:00:06.305;	15161;	-12
04.10.2016 10:00:06.307;	15162;	7
04.10.2016 10:00:06.340;	15161;	2
04.10.2016 10:00:06.340;	15161;	3
04.10.2016 10:00:06.471;	15161;	1
04.10.2016 10:00:06.518;	15161;	2
04.10.2016 10:00:06.520;	15155;	-1
04.10.2016 10:00:06.673;	15155;	-1
04.10.2016 10:00:06.762;	15161;	1
04.10.2016 10:00:06.778;	15161;	1
04.10.2016 10:00:06.840;	15161;	1
04.10.2016 10:00:06.988;	15161;	2
04.10.2016 10:00:06.988;	15161;	3
04.10.2016 10:00:07.028;	15161;	1
04.10.2016 10:00:07.059;	15161;	2
04.10.2016 10:00:07.059;	15162;	3
04.10.2016 10:00:07.137;	15155;	-1
04.10.2016 10:00:07.431;	15161;	3
04.10.2016 10:00:07.431;	15161;	1
04.10.2016 10:00:07.431;	15162;	14
04.10.2016 10:00:07.433;	15162;	12
04.10.2016 10:00:07.438;	15155;	-1
04.10.2016 10:00:07.746;	15155;	-1
04.10.2016 10:00:07.749;	15155;	-1
04.10.2016 10:00:08.217;	15161;	1
04.10.2016 10:00:09.282;	15160;	1
04.10.2016 10:00:09.336;	15155;	-2
04.10.2016 10:00:09.349;	15153;	-2
04.10.2016 10:00:09.349;	15153;	-3
04.10.2016 10:00:09.349;	15152;	-3
04.10.2016 10:00:09.349;	15152;	-4
04.10.2016 10:00:09.351;	15152;	-6
04.10.2016 10:00:09.609;	15153;	-3
04.10.2016 10:00:09.609;	15152;	-1
04.10.2016 10:00:09.609;	15152;	-4
04.10.2016 10:00:10.121;	15153;	-3
04.10.2016 10:00:10.121;	15152;	-10
04.10.2016 10:00:10.121;	15151;	-7
04.10.2016 10:00:10.360;	15151;	-2
04.10.2016 10:00:10.441;	15155;	2
04.10.2016 10:00:10.441;	15155;	3
04.10.2016 10:00:10.441;	15156;	9
04.10.2016 10:00:10.610;	15155;	1
04.10.2016 10:00:11.112;	15155;	4
04.10.2016 10:00:11.112;	15155;	1
04.10.2016 10:00:11.112;	15156;	5
04.10.2016 10:00:11.157;	15152;	-1
04.10.2016 10:00:11.221;	15155;	3
04.10.2016 10:00:11.225;	15155;	-11
04.10.2016 10:00:11.230;	15151;	-5
04.10.2016 10:00:11.393;	15151;	-2
04.10.2016 10:00:11.472;	15155;	3
04.10.2016 10:00:11.472;	15156;	6
04.10.2016 10:00:11.688;	15156;	2
04.10.2016 10:00:11.708;	15156;	10
04.10.2016 10:00:11.717;	15156;	10
04.10.2016 10:00:12.429;	15156;	4
04.10.2016 10:00:12.559;	15151;	-6
04.10.2016 10:00:12.559;	15151;	-3
04.10.2016 10:00:12.559;	15150;	-1
04.10.2016 10:00:12.559;	15150;	-1
04.10.2016 10:00:12.559;	15150;	-1
04.10.2016 10:00:12.559;	15150;	-1
04.10.2016 10:00:12.656;	15151;	1
04.10.2016 10:00:12.660;	15155;	2
04.10.2016 10:00:12.975;	15150;	-1
04.10.2016 10:00:13.118;	15150;	-1
04.10.2016 10:00:13.427;	15150;	-1
04.10.2016 10:00:13.431;	15150;	-1
04.10.2016 10:00:13.997;	15149;	-1
04.10.2016 10:00:14.002;	15151;	1
04.10.2016 10:00:14.070;	15150;	-1
04.10.2016 10:00:14.070;	15149;	-13
04.10.2016 10:00:14.070;	15148;	-4
04.10.2016 10:00:14.097;	15148;	-2
04.10.2016 10:00:14.433;	15149;	1
04.10.2016 10:00:14.750;	15148;	-1
04.10.2016 10:00:14.851;	15148;	-6
04.10.2016 10:00:14.980;	15148;	-2
04.10.2016 10:00:15.137;	15148;	-1
